Art;Wert;Anzahl;Bestellt;
C;4,7µ;4;Farnell;o
C;100n;7;Farnell;o
C;300p;2;Farnell;o
C;0,01µ;1;Farnell;o
LED;603;2;Farnell;
USB;Micro;1;Mouser;
L;22µ;1;Farnell;
L;10µ;1;Farnell;
R;75k;2;Farnell;
R;2k;1;Farnell;
R;50k;2;Farnell;
R;4,42M;3;Farnell;o
R;470R;1;Farnell;
R;15M;1;Farnell;o
R;5,6M;2;Farnell;o
R;1,43M;1;Farnell;o
R;4,22M;1;Farnell;o
R;180R;1;Farnell;
R;604k;2;Farnell;o
R;4,02M;1;Farnell;o
R;10k;2;Farnell;
R;300k;1;Farnell;o
PushBtn;smd;3;Farnell;o
MCP73831;USB-power;1;Mouser;
BQ25504;energy-harv;1;Mouser;
BME280;sensor;1;Mouser;
ACN52;chip;1;Mouser;
Rot_encoder;xxx;1;Farnell;o
